Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-10-06,"Woman In The Meadow",5.11a,,https://www.mountainproject.com/route/106404789/woman-in-the-meadow,1,"Oregon > Central Oregon > Smith Rock > (yy) Basalt Rimrock > Northern Point > Left Side",3.3,3,Lead,Redpoint,Sport,,35,4600
2024-10-05,"Morning Dew",5.9,,https://www.mountainproject.com/route/107586313/morning-dew,1,"Oregon > Central Oregon > Smith Rock > (yy) Basalt Rimrock > Northern Point > Left Side",2.5,-1,TR,,Trad,,,2400
2024-10-05,"Metamorphic Dawning",5.10c,,https://www.mountainproject.com/route/107304439/metamorphic-dawning,1,"Oregon > Central Oregon > Smith Rock > (yy) Basalt Rimrock > Northern Point > Left Side",2.3,-1,TR,,Sport,,60,3200
2024-10-05,"Torrid Zone",5.12a,,https://www.mountainproject.com/route/105867053/torrid-zone,1,"Oregon > Central Oregon > Smith Rock > (yy) Basalt Rimrock > Northern Point > Left Side",3.2,-1,TR,,Sport,,40,6600
2024-10-05,"Woman In The Meadow",5.11a,,https://www.mountainproject.com/route/106404789/woman-in-the-meadow,1,"Oregon > Central Oregon > Smith Rock > (yy) Basalt Rimrock > Northern Point > Left Side",3.3,3,TR,,Sport,,35,4600
2024-10-02,"The Rail",V0,,https://www.mountainproject.com/route/108160584/the-rail,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Barney's Rubble > The Hesitator",2.5,3,Flash,,Boulder,,10,20008
2024-10-02,Phatness,V1,,https://www.mountainproject.com/route/108160703/phatness,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Barney's Rubble > The Hesitator",2.4,2,Flash,,Boulder,,,20100
2024-10-01,"Busted Stand",V6,,https://www.mountainproject.com/route/114340596/busted-stand,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > Busted Boulder",3.3,3,Send,,Boulder,,,20600
2024-10-01,"Busted Stand",V6,,https://www.mountainproject.com/route/114340596/busted-stand,3,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > Busted Boulder",3.3,3,Attempt,,Boulder,,,20600
2024-10-01,"The Physical",V4,,https://www.mountainproject.com/route/108184692/the-physical,3,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > The Physical Boulder",3.7,-1,Attempt,,Boulder,,15,20400
2024-10-01,Lovage,V3-,,https://www.mountainproject.com/route/108184643/lovage,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > Lovage Boulder",2.9,3,Send,,Boulder,,15,20270
2024-10-01,"Feel The Pinch",V5,,https://www.mountainproject.com/route/108184582/feel-the-pinch,3,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > Busted Boulder",3.4,-1,Attempt,,Boulder,,12,20500
2024-10-01,"Arrested Development",V4,,https://www.mountainproject.com/route/106337716/arrested-development,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > Busted Boulder",3.2,3,Send,,Boulder,,15,20400
2024-10-01,"Sunny and Steep",V2,,https://www.mountainproject.com/route/106413627/sunny-and-steep,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > Sunny and Steep Boulder",3.4,3,Flash,,Boulder,,14,20200
2024-09-30,"Feel The Pinch",V5,,https://www.mountainproject.com/route/108184582/feel-the-pinch,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > Busted Boulder",3.4,-1,Attempt,,Boulder,,12,20500
2024-09-30,"Power Steering",V2,,https://www.mountainproject.com/route/112892188/power-steering,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > Busted Boulder",2.3,2,Send,,Boulder,,8,20200
2024-09-30,Scarecrow,V1+,,https://www.mountainproject.com/route/108184611/scarecrow,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > Scarecrow Boulder",2.0,2,Flash,,Boulder,,10,20110
2024-09-30,"Cowardly Lion",V0,,https://www.mountainproject.com/route/108184622/cowardly-lion,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > Scarecrow Boulder",1.7,2,Flash,,Boulder,,8,20008
2024-09-30,"Breadline Variation",V2,,https://www.mountainproject.com/route/112798877/breadline-variation,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > The Real Thing Boulder",2.6,3,Flash,,Boulder,,15,20200
2024-09-30,"Arrested Development",V4,,https://www.mountainproject.com/route/106337716/arrested-development,2,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > Busted Boulder",3.2,3,Attempt,,Boulder,,15,20400
2024-09-30,"The Real Thing",V4,,https://www.mountainproject.com/route/106288755/the-real-thing,3,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > The Real Thing Boulder",3.6,-1,Attempt,,Boulder,,,20400
2024-09-30,Breadline,V0,,https://www.mountainproject.com/route/108184552/breadline,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > ** Bouldering in Icicle Creek > Forestland Boulders > The Real Thing Boulder",2.8,2,Flash,,Boulder,,10,20008
2024-09-29,"Dr. Ceuse",5.10a,,https://www.mountainproject.com/route/107187071/dr-ceuse,1,"Washington > Central Region > Banks Lake > Northrup Canyon > Picnic Table Rock",3.5,2,Lead,Onsight,Sport,,80,2600
2024-09-24,"Public Enemy",5.10a,,https://www.mountainproject.com/route/108226547/public-enemy,1,"International > North America > Canada > Alberta > Banff National Park > Lake Louise > The Back of The Lake > Outhouse Wall",3.3,3,TR,,Sport,,80,2600
2024-09-24,"Public Enemy",5.10a,,https://www.mountainproject.com/route/108226547/public-enemy,1,"International > North America > Canada > Alberta > Banff National Park > Lake Louise > The Back of The Lake > Outhouse Wall",3.3,3,Lead,Onsight,Sport,,80,2600
2024-09-24,"Turtle Mountain",5.10b,,https://www.mountainproject.com/route/108226542/turtle-mountain,1,"International > North America > Canada > Alberta > Banff National Park > Lake Louise > The Back of The Lake > Outhouse Wall",3.3,3,Lead,Onsight,Sport,,80,2900
2024-09-24,"School of Rock",5.7,,https://www.mountainproject.com/route/109238338/school-of-rock,1,"International > North America > Canada > Alberta > Banff National Park > Lake Louise > The Back of The Lake > Outhouse Wall",2.5,3,Lead,Onsight,Sport,,50,1800
2024-09-24,Neverland,5.8,,https://www.mountainproject.com/route/109238350/neverland,1,"International > North America > Canada > Alberta > Banff National Park > Lake Louise > The Back of The Lake > Outhouse Wall",2.7,3,Lead,Onsight,Sport,,55,2100
2024-09-24,"Chocolate Bunnies from Hell",5.11b,,https://www.mountainproject.com/route/109356518/chocolate-bunnies-from-hell,1,"International > North America > Canada > Alberta > Banff National Park > Lake Louise > The Back of The Lake > Outhouse Wall",3.5,4,Lead,Onsight,Sport,,90,4900
2024-09-24,"Wicked Gravity",5.11a,"Approach shoes",https://www.mountainproject.com/route/108226533/wicked-gravity,1,"International > North America > Canada > Alberta > Banff National Park > Lake Louise > The Back of The Lake > Outhouse Wall",3.8,4,TR,,Sport,,88,4600
2024-09-24,"Wicked Gravity",5.11a,,https://www.mountainproject.com/route/108226533/wicked-gravity,1,"International > North America > Canada > Alberta > Banff National Park > Lake Louise > The Back of The Lake > Outhouse Wall",3.8,4,Lead,Onsight,Sport,,88,4600
2024-09-22,"Crimson Tide",5.11a/b,,https://www.mountainproject.com/route/109294203/crimson-tide,1,"International > North America > Canada > Alberta > Bow Valley > Heart Creek > Jupiter Rock",2.9,3,Lead,Onsight,Sport,,89,4800
2024-09-22,"Back to Zero",5.9,,https://www.mountainproject.com/route/107142442/back-to-zero,1,"International > North America > Canada > Alberta > Bow Valley > Heart Creek > First Rock",2.3,3,Lead,Onsight,Sport,,60,2400
2024-09-22,"Feel On",5.10b,,https://www.mountainproject.com/route/107142449/feel-on,1,"International > North America > Canada > Alberta > Bow Valley > Heart Creek > First Rock",2.7,2,Lead,Onsight,Sport,,60,2900
2024-09-22,"Feel On Baby",5.10b,,https://www.mountainproject.com/route/107142462/feel-on-baby,1,"International > North America > Canada > Alberta > Bow Valley > Heart Creek > First Rock",2.8,2,Lead,Onsight,Sport,,110,2900
2024-09-22,"Pyramid Power",5.9,,https://www.mountainproject.com/route/119266804/pyramid-power,1,"International > North America > Canada > Alberta > Bow Valley > Heart Creek > First Rock",2.0,2,Lead,Onsight,Sport,,45,2400
2024-09-22,"Let It Bleed",5.10a,,https://www.mountainproject.com/route/119266823/let-it-bleed,1,"International > North America > Canada > Alberta > Bow Valley > Heart Creek > First Rock",2.7,2,Lead,Onsight,Sport,,75,2600
2024-09-22,Cavebird,5.9+,,https://www.mountainproject.com/route/107142457/cavebird,1,"International > North America > Canada > Alberta > Bow Valley > Heart Creek > First Rock",2.1,2,Lead,Onsight,Sport,,60,2500
2024-09-21,"The Mussy Hooker",5.8,,https://www.mountainproject.com/route/126239812/the-mussy-hooker,1,"International > North America > Canada > Alberta > Bow Valley > Grotto Canyon > Water Wall",2.5,1,Lead,Onsight,Sport,,90,2100
2024-09-21,"Walk on the Wilde Side",5.11c,,https://www.mountainproject.com/route/120640969/walk-on-the-wilde-side,1,"International > North America > Canada > Alberta > Bow Valley > Grotto Canyon > Hemingway Wall",4.0,-1,Lead,Fell/Hung,Sport,,50,5200
2024-09-21,"Exit Stage Left",5.8,,https://www.mountainproject.com/route/119284015/exit-stage-left,1,"International > North America > Canada > Alberta > Bow Valley > Grotto Canyon > Hemingway Wall",1.7,1,Lead,,Sport,,40,2100
2024-09-21,"Exit Stage Left",5.8,,https://www.mountainproject.com/route/119284015/exit-stage-left,1,"International > North America > Canada > Alberta > Bow Valley > Grotto Canyon > Hemingway Wall",1.7,1,Lead,Onsight,Sport,,40,2100
2024-09-21,"Farewell to Arms",5.11a,,https://www.mountainproject.com/route/117557944/farewell-to-arms,1,"International > North America > Canada > Alberta > Bow Valley > Grotto Canyon > Hemingway Wall",3.3,3,Lead,Redpoint,Sport,,60,4600
2024-09-21,"Farewell to Arms",5.11a,,https://www.mountainproject.com/route/117557944/farewell-to-arms,1,"International > North America > Canada > Alberta > Bow Valley > Grotto Canyon > Hemingway Wall",3.3,3,Lead,Fell/Hung,Sport,,60,4600
2024-09-10,"Elastic Man",5.11c,,https://www.mountainproject.com/route/108259493/elastic-man,5,"International > North America > Canada > British Columbia > Squamish > Murrin Park > Petrifying Wall",3.4,3,TR,,Sport,,65,5200
2024-09-10,"Elastic Man",5.11c,,https://www.mountainproject.com/route/108259493/elastic-man,1,"International > North America > Canada > British Columbia > Squamish > Murrin Park > Petrifying Wall",3.4,3,Lead,Onsight,Sport,,65,5200
2024-09-10,"Heavy Petting Action",5.10b,,https://www.mountainproject.com/route/107758342/heavy-petting-action,1,"International > North America > Canada > British Columbia > Squamish > Murrin Park > Petrifying Wall",2.7,2,Lead,Onsight,Sport,,90,2900
2024-09-09,"Jiminy Cricket",5.0,,https://www.mountainproject.com/route/121258330/jiminy-cricket,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Parking Lot Wall",1.3,-1,Solo,,Trad,,25,1000
2024-09-09,"The Power of Pippin",5.6,,https://www.mountainproject.com/route/121453854/the-power-of-pippin,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Parking Lot Wall",2.1,-1,Solo,,Trad,,50,1600
2024-09-09,"Clandestine Affair",5.9,,https://www.mountainproject.com/route/105954921/clandestine-affair,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Penny Lane",2.9,3,Lead,Onsight,Trad,,80,2400
2024-09-09,"Up, Up and Away","5.9 PG13",,https://www.mountainproject.com/route/105857749/up-up-and-away,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Penny Lane",2.6,2,Lead,Onsight,Trad,,100,2400
2024-09-09,"Penny Lane",5.9,,https://www.mountainproject.com/route/105842825/penny-lane,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Penny Lane",3.6,3,TR,,Trad,,100,2400
2024-09-09,"Penny Lane",5.9,,https://www.mountainproject.com/route/105842825/penny-lane,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Penny Lane",3.6,3,Lead,Onsight,Trad,,100,2400
2024-09-09,"The Witch Doctor's Apprentice",5.9,,https://www.mountainproject.com/route/106681283/the-witch-doctors-apprentice,2,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Penny Lane",2.8,3,Lead,Onsight,Trad,,85,2400
2024-09-09,"Flying Circus",5.10a,,https://www.mountainproject.com/route/105845816/flying-circus,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Neat and Cool",3.6,3,TR,,Trad,,100,2600
2024-09-09,"Flying Circus",5.10a,,https://www.mountainproject.com/route/105845816/flying-circus,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Neat and Cool",3.6,3,Lead,Redpoint,Trad,,100,2600
2024-09-07,"Burning Down the Couch",5.11d,,https://www.mountainproject.com/route/106240353/burning-down-the-couch,2,"International > North America > Canada > British Columbia > Squamish > Murrin Park > Petrifying Wall",3.8,-1,Lead,Fell/Hung,Sport,,120,5500
2024-09-07,"Yasgur's Farm",5.9,,https://www.mountainproject.com/route/110140392/yasgurs-farm,1,"International > North America > Canada > British Columbia > Squamish > Murrin Park > Woodstock",2.6,2,Lead,Onsight,Sport,,65,2400
2024-09-07,"Spotters on Strike","V0 R",,https://www.mountainproject.com/route/114963602/spotters-on-strike,1,"International > North America > Canada > British Columbia > Squamish > Stawamus Chief > Grand Wall Boulders > (g) Black Dyke",2.5,2,Flash,,Boulder,,24,20008
2024-09-07,"Summer Vacation",V0,,https://www.mountainproject.com/route/107772738/summer-vacation,5,"International > North America > Canada > British Columbia > Squamish > Stawamus Chief > Grand Wall Boulders > (g) Black Dyke",3.8,3,Send,,Boulder,,22,20008
2024-09-06,"Summer Vacation",V0,,https://www.mountainproject.com/route/107772738/summer-vacation,1,"International > North America > Canada > British Columbia > Squamish > Stawamus Chief > Grand Wall Boulders > (g) Black Dyke",3.8,3,Flash,,Boulder,,22,20008
2024-09-06,"Block and Tackle",5.11b,,https://www.mountainproject.com/route/106006309/block-and-tackle,1,"International > North America > Canada > British Columbia > Squamish > Murrin Park > Block and Tackle",2.9,-1,TR,,Trad,,60,4900
2024-09-05,Thumbelina,5.9,,https://www.mountainproject.com/route/119257462/thumbelina,1,"International > North America > Canada > British Columbia > Squamish > Murrin Park > Lakeside in the Woods",2.5,2,Lead,Onsight,Sport,,,2400
2024-09-05,"No Name Road",5.11b,,https://www.mountainproject.com/route/106527496/no-name-road,1,"International > North America > Canada > British Columbia > Squamish > Murrin Park > Petrifying Wall",3.7,3,Lead,Onsight,Sport,,120,4900
2024-09-05,"A Cougar One Bite Brownie",5.10a,,https://www.mountainproject.com/route/107758295/a-cougar-one-bite-brownie,1,"International > North America > Canada > British Columbia > Squamish > Murrin Park > Petrifying Wall",2.5,3,Lead,Onsight,Sport,,100,2600
2024-09-04,"The Zip",5.10a,,https://www.mountainproject.com/route/105941644/the-zip,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > The Zip > The Zip (South)",3.8,-1,Lead,Fell/Hung,Trad,,70,2600
2024-09-03,"Laughing Crack",5.7,,https://www.mountainproject.com/route/105959460/laughing-crack,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Wall Area",3.6,4,Lead,,Trad,,75,1800
2024-09-02,"Sphinx'ter Quits",5.8,,https://www.mountainproject.com/route/105910942/sphinxter-quits,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Wall Area",2.8,3,Lead,Onsight,"Trad, Sport",,80,2100
2024-09-02,Cornflakes,5.6,"Approach shoes. Fun! Don’t want to be there when the flakes come crashing down",https://www.mountainproject.com/route/105962497/cornflakes,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Neat and Cool",2.4,3,Lead,Onsight,Trad,,65,1600
2024-09-02,Mosquito,5.8,,https://www.mountainproject.com/route/105842817/mosquito,1,"International > North America > Canada > British Columbia > Squamish > The Smoke Bluffs > Wall Area",3.2,3,Lead,Onsight,Trad,,50,2100
